AVOC,AVOCADOS
CORN,CORN-SWEET
CORNST,CORN STALKS
CRBY,CRANBERRIES
CRENSHAW-V,CRENSHAW
CURRY,CURRY LEAVES
CUX,CUCUMBERS
DASH,DASHEEN
DATES-V,DATES
DAUM,DAU MUE (PEA TIPS)
DNDGRNS-V,DANDELION GREENS
DONQ,DONQUA (WINTER MELON)
DRAGON,DRAGON FRUIT (RED PITAYA)
DRYESC,DRY ESCHALLOT
DURIAN,DURIAN
EDIBLEFL-V,EDIBLE FLOWERS
END,ENDIVE
EPAS,EPASOTE
ESC,ESCAROLE
FEIJOA-V,FEIJOA
FENU,FENUGREEK (METHI)
FIDDLEHE-V,FIDDLE HEAD FERNS
FIELDCRE-V,FIELD CRESS
FIGS-V,FIGS
FILB,FILBERTS
FRISEE-V,FRISEE
FRTO,FRUITS OTHER
GAICHY,GAI CHOY (CHINESE MUSTARD)
GAILON,GAILON
GALANGA,"GALANGA (SIAM, THAI GINGER)"
GALIA-V,GALIA MELON
M/MEL,GAYA MELON
GOBO,GOBO
GOOSEBER-V,GOOSEBERRIES
GRPFT,GRAPEFRUIT
GRPS,GRAPES
GRPBJ,GRAPES-BLACK JUICE
GRPMJ,GRAPES-MIXED JUICE
GRPWJ,GRAPES-WHITE JUICE
GRNS,GREENS
GUAVA-V,GUAVA
HAMI-V,HAMI MELON
HANOVERS-V,HANOVER SALAD GREENS
HOMELYFR-V,HOMELYFRUIT
HDEW,HONEYDEWS
HRSRAD,HORSERADISH
JACK,JACKFRUIT
JERUSAL-V,JERUSALEM ARTICHOKES
JCMA,JICAMA
JUANCANA-V,JUAN CANARY MELON
JUJU,JUJUBE
K-EARLYC-V,K-EARLY CITRUS
KALEGRNS-V,KALE GREENS
KIWANO-V,KIWANO
KIWI,KIWIFRUIT
KOHLRABI-V,KOHLRABI
KORMELON-V,KOREAN MELON
KUMQUATS-V,KUMQUATS
LEECITRU-V,LEE CITRUS
LEM,LEMONS
BIBBLET-V,"LETTUCE, BIBB"
BOLET-V,"LETTUCE, BOSTON"
BOLETRD-V,"LETTUCE, BOSTON, RED"
GRNLFLET-V,"LETTUCE, GREEN LEAF"
LETT,"LETTUCE, ICEBERG"
LOLLET-V,"LETTUCE, LOLLA ROSSA"
OLETGRN-V,"LETTUCE, OAK LEAF - GREEN"
OLETRD-V,"LETTUCE, OAK LEAF - RED"
LETTP,"LETTUCE, PROCESSED"
RDLFLET-V,"LETTUCE, RED LEAF"
LETTR,"LETTUCE, ROMAINE"
RMNLETRU-V,"LETTUCE, RUBY ROMAINE"
MSTGRNSR-V,"LETTUCE, RUSSIAN RED MUSTARD"
LETTO,LETTUCE-OTHER
LIMEQUAT-V,LIMEQUAT
LINK,LINKOK
LOBOK,LO BOK
LOGANBER-V,LOGANBERRIES
LNBNS,LONG BEANS
LONGAN,LONGAN
LOQUAT-V,LOQUAT
LORT,LOTUS ROOT
LYCH,LYCHEE
MACHE-V,MACHE
MAGU,MAGUEY (AGAVE) LEAVES
MANGSTN,MANGOSTEEN
MAYANMEL-V,MAYAN MELON
MELOGOLD-V,MELOGOLD
MESCULIN-V,MESCULIN MIX
MEYERLEM-V,MEYER LEMON
MISC BER,MISC BERRIES
MISC CIT,MISC CITRUS
M/MEL,MISC MELONS
MIXED,MIXED NUTS
MIZUNA-V,MIZUNA
MOMB,MOMBIN (JOCOTE)
MOO,MOO
MOQUA,MOQUA (FUZZY SQUASH)
MUSH,MUSHROOMS
MUSTARD-V,MUSTARD
NAGAI,NAGAIMO
NECTARBE-V,NECTARBERRIES
NECT,NECTARINES
OLALLIEB-V,OLALLIE BERRIES
OLIVES-V,OLIVES
ONCHO,ONG CHOY
ONS,ONIONS DRY
ONSG,ONIONS GREEN
ORGFLESH-V,ORANGE FLESH MELON
ORG,ORANGES
OCORN,ORNAMENTAL CORN
OGOURD,ORNAMENTAL GOURDS
OROBLANC-V,ORO BLANCO
ORTANIQ-V,ORTANIQUE
OSCEOLAC-V,OSCEOLA CITRUS
PAGECITR-V,PAGE CITRUS
PAPA,PAPALO
PARSN,PARSNIPS
PASSIONF-V,PASSION FRUIT
PCH,PEACHES
PEAN,PEANUTS
PEAR,PEARS
PEASG,PEAS GREEN
PEASO,PEAS OTHER
PECA,PECANS
PEPI,PEPICHA
PEPINO-V,PEPINO
PERSIANM-V,PERSIAN MELON
PRSM,PERSIMMONS
PIELDSAP-V,PIEL DE SAPO MELON
PISTAC,PISTACHIOS
PLUM,PLUMS
POTS,POTATOES
POTSS,POTATOES-SEED
PRUNE,PRUNES
PUMP,PUMPKINS
QUEN,QUENAPAS
QUINCE-V,QUINCE
RADICCHI-V,RADICCHIO
RDSHSPRO-V,RADISH SPROUTS
RAD,RADISHES
RAMB,RAMBUTAN
RAPEGRNS-V,RAPE GREENS
RASP,RASPBERRIES
RECAO,RECAO (CULANTRO)
RDCURRAN-V,RED CURRANTS
RHUB,RHUBARB
RMNBABYR-V,"ROMAINE, BABY RED"
ROYALMAN-V,ROYAL MANDARIN
RUTA,RUTABAGAS
SAGE,SAGE
SALICOR-V,SALICORNIA (SEA BEAN)
SLSFY,SALSIFY
SANTACLA-V,SANTA CLAUS MELON
SATSUMA-V,SATSUMA
SAVOR,SAVORY
SHARLYNM-V,SHARLYN MELON
SORR,SORREL
SPNMELON-V,SPANISH MELON
SPIN,SPINACH
SPRITE-V,SPRITE MELON
STRAW,STRAW BALES
STRBY,STRAWBERRIES
SGRCN,SUGARCANE
SWETLIM-V,SWEET LIME
SWPOT,SWEET POTATOES
SWISSCHA-V,SWISS CHARD
TMRLO,TAMARILLO
TANGL,TANGELOS
TANG,TANGERINES
TAROLF,TARO LEAF
TAROSH,TARO SHOOTS
TATSOI-V,TATSOI
TAYBERI-V,TAYBERRIES
TEMH-V,TEJOCOTE (MEXICAN HAWTHORN)
TMPL,TEMPLES
TEMPTATI-V,TEMPTATION MELON
TEPE,TEPEGUAJE (GUAJE)
TOMA,TOMATILLOS
"TOM, CHER","TOMATOES, CHERRY"
"TOM, GRP","TOMATOES, GRAPE TYPE"
"TOM, PLUM","TOMATOES, PLUM TYPE"
TUM,TUMERIC
TURTOPSG-V,TURNIP TOPS GREENS
TRNP,TURNIPS
UGLIFRUI-V,UGLIFRUIT/UNIQFRUIT
UPCRS,UPLAND/WINTER CRESS
VEGO,VEGETABLES OTHER
VERD,VERDULAGA
WAL,WALNUTS
WTR CNUT,WATER CHESTNUTS
WTRCRS,WATERCRESS
WHTCURRA-V,WHITE CURRANTS
YAMP,YAMPI
YAMS,YAMS (NAMES)
YELLOWFL-V,YELLOW FLESH MELON
YUCHY,YU CHOY
PEP,"PEPPERS, BELL TYPE"
PEPO,"PEPPERS, OTHER"
